City,country,"Meal, Inexpensive Restaurant ","Meal for 2 People, Mid-range Restaurant, Three-course ",McMeal at McDonalds (or Equivalent Combo Meal) ,Domestic Beer (0.5 liter draught) ,Imported Beer (0.33 liter bottle) ,Cappuccino (regular) ,Coke/Pepsi (0.33 liter bottle) ,Water (0.33 liter bottle)  ,"Milk (regular), (1 liter) ",Loaf of Fresh White Bread (500g) ,"Rice (white), (1kg) ",Eggs (regular) (12) ,Local Cheese (1kg) ,Chicken Fillets (1kg) ,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,Apples (1kg) ,Banana (1kg) ,Oranges (1kg) ,Tomato (1kg) ,Potato (1kg) ,Onion (1kg) ,Lettuce (1 head) ,Water (1.5 liter bottle) ,Bottle of Wine (Mid-Range) ,Domestic Beer (0.5 liter bottle) ,Cigarettes 20 Pack (Marlboro) ,One-way Ticket (Local Transport) ,Monthly Pass (Regular Price) ,Taxi Start (Normal Tariff) ,Taxi 1km (Normal Tariff) ,Taxi 1hour Waiting (Normal Tariff) ,Gasoline (1 liter) ,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ","Fitness Club, Monthly Fee for 1 Adult ",Tennis Court Rent (1 Hour on Weekend) ,"Cinema, International Release, 1 Seat ","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child ",1 Pair of Jeans (Levis 501 Or Similar) ,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",1 Pair of Nike Running Shoes (Mid-Range) ,1 Pair of Men Leather Business Shoes ,Apartment (1 bedroom) in City Centre ,Apartment (1 bedroom) Outside of Centre ,Apartment (3 bedrooms) in City Centre ,Apartment (3 bedrooms) Outside of Centre ,Price per Square Meter to Buy Apartment in City Centre ,Price per Square Meter to Buy Apartment Outside of Centre ,Average Monthly Net Salary (After Tax) ,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate "
Thunder Bay,Canada,15,75,10.5,5,5,4.69,3.5,2.33,2.47,2.94,2.58,3.47,19.33,13.25,11.33,4.67,1.76,4.86,4.34,3.5,2.83,3.33,2.83,15.99,2.83,17,3,70,5.17,2.62,34,1.21,41373,27830,294.81,0.45,90.71,65.71,42,12,455,4200,58.12,49,110,156.67,1086.68,950,1755.56,1557.14,5689.94,1859.03,2642.61,3.62
Belleville,Canada,15,70,11.5,7,2.57,4.12,2.25,1.44,2.6,3.07,4.33,4,7.5,13.81,17,4.25,2.09,3.33,3.5,3.5,2,2.5,1.83,12,2.5,14.25,3,76,4.5,3.55,34,1.1,26576,21144.5,206.88,0.15,83.5,53,0,12.99,1000,13000,58,42.5,95.8,147.6,1419.75,1232.25,1741.5,1699.75,3336.81,2152.78,2634.67,3.57
Richmond-Canada,Canada,17,80,10.25,7,3.1,5,2,1.75,1.63,2.66,5.57,3.87,13.11,11.83,9.46,3.88,1.65,3.3,5,1.76,2.17,2,1,15,2.46,17,3.05,100,3.48,1.95,35.43,1.37,24500,23287.5,126.25,0.22,75,49.75,28.33,15,950,11111.11,46,46.12,89.17,117.5,1882.14,1483.33,3070,2500,9705.84,9232.65,2594.81,3.01
Nelson-BC-Canada,Canada,18,75,10,5.75,4.1,4.62,2.39,2.25,2.75,2.6,2.83,3.76,10.46,12.99,13.94,3.84,1.38,2.95,4.1,1.97,1.72,2.64,1.83,17,2.5,15,2.25,60,3.5,2.2,38.87,1.27,23000,26019.5,155.86,0.4,103.37,75.75,5,11,900,8000,58,46.88,96.75,120.62,1240,1025,2300,1928.33,4768.41,2655.1,2506.58,3.74
Cranbrook-Canada,Canada,16.5,51.5,10,6.25,3.7,4.75,1.54,1.61,2.11,3.4,4.85,4.08,17.1,12.18,11.1,4.8,1.22,4.25,4.63,2.02,1.87,2.43,2.7,15,2.55,14.5,2.75,50,5.35,2.48,22,1.31,20500,21666.67,230,0.39,77.5,55.93,7.5,12,655,13000,73.25,77.33,116.75,146.67,962.5,870,1491.67,1600,2450,2350,2486,3.21
Laval,Canada,18.43,65,14,3,3.26,4.5,2,1.3,2.3,2.82,2.3,2.91,14.51,10.25,12.45,3.59,2.02,2.16,3.46,2.25,1.43,3.37,2.37,15.5,2.49,13.5,3.5,97,3.5,1.73,34,1.24,22497.5,21150,91.4,0.29,62.5,23.25,18,12.75,495,6075,54,45,117.5,113.5,1152.75,730,1640,1237.5,4744.19,2816.56,2441.67,3.4
Whistler,Canada,20,92.5,11,7,2.4,4.69,2.07,1.71,4.02,3.5,5.75,4.7,13.6,18.8,23.75,3.43,1.5,4.32,10.27,1.68,2.92,4.37,2.22,20,2.1,16,2.5,50,3.27,2,33.55,1.4,30000,24266.25,92.77,0.31,75,84,15,15,1146.25,11000,64.29,39.38,117.5,128.33,2675,2260,5125,4125,19375.04,12916.69,2370.83,2.33
Saint-John-New-Brunswick-Canada,Canada,20,80,10,5.5,4.5,5.45,2.69,1.8,2.57,3.23,5.88,3.59,12.45,15,13.74,5.7,1.97,5.54,3.57,2.85,3.62,3.33,3.31,18,3.37,15.3,2.75,77,5,1.1,45,1.16,26464,22156.67,229.79,0.34,84.28,53,31.75,13,725,19000,63.33,41.83,95,99,838.85,617.78,1288.89,1031.25,1620.54,1471.07,2257.5,2.31
Windsor,Canada,20,80,10,6,3.62,4.44,2.28,2.02,2.06,2.3,3.05,3.32,10.28,11.95,12.32,3.73,1.77,4.86,2.25,2.59,1.8,2.9,2.21,19.5,3.04,14,3.17,90,3.9,2.48,34,1.2,29000,25261.25,183.15,0.28,81.89,44.29,23.2,13.97,816.67,10666.67,58.87,45.43,107.5,132.5,1287.5,1150,1988.89,1743.75,4483.25,2690.98,2203.86,2.48
Port-Alberni-Canada,Canada,15,75,11,6,4.1,4.94,2.45,2.18,2.29,2.88,4,3.85,13.32,15.26,19.43,4,1.89,4,4.58,2.87,2.57,2.8,2.66,19.49,4.49,14,2.38,84,3.38,1.88,35,1.27,20000,23000,95.04,0.15,83.87,43.33,38.45,11,616.67,27051.52,78.16,49.44,113.68,154.68,1054.17,1050,1560,1540,1722.69,1771.41,2196,3.57
Charlottetown,Canada,18,75,10,6,3.8,4.25,2.36,2,2.78,3.1,5.49,4.3,12.8,15.6,16.99,8.3,1.93,9.32,7.4,5.1,4.79,3.99,2.26,16,2.5,18,2,58.5,7,3,30,1.26,42500,29962.67,202.16,0.3,100,49,9,15.5,925,30000,67.5,35.99,85,125,1106.25,951.43,1825,1618.75,2296.25,1208,2193.21,3.79
Parksville-Canada,Canada,15,75,10,5,2.94,4,2.12,1.5,1.72,3,2.8,3.46,14.42,11.84,13.12,4.32,1.64,4.04,6.93,4.22,3.46,2.04,3.16,18,3.4,16,2.5,107,3.15,1.9,32.93,1.32,22749,24532.33,114.88,0.28,73.8,47.23,0,14,883.33,11700,64,52.83,92.25,96.67,1283.33,1100,1975,1760,4410.23,3834.37,2097,3
New-Glasgow-Nova-Scotia-Canada,Canada,18,75,11.5,5,2.94,3.69,2.05,1.77,2.78,3.1,4.54,4.13,11.47,12.66,12.76,5.3,1.93,3.66,6.06,3.6,4.65,3.49,2.01,19,2.92,17,5.75,101.25,5.12,2,50,0.99,28849,25247.67,202.16,0.18,100,59.44,20.83,14,763.33,30000,67.5,35.99,85,125,906.25,737.5,1218.75,1097.5,2500,2225,2061.29,3.48
Peterborough,Canada,20,75,12.75,6,5.5,4.2,2.2,2.3,2.9,2.08,6,3.12,8,11.85,12.33,4.45,1.32,3.75,3.28,3.95,3.25,2.38,1.58,14,4,15.5,2.5,60,4.5,3,34,1.12,23785,25197,124.99,0.15,82,45,20,14.25,1250,12000,52.5,41.67,90,118.33,1136.11,1036.25,1937.5,1857.14,3500,2500,1830.07,3.47
